Season,Round,CircuitName,DriverAbbreviation,TeamName,GridPosition,FinalPosition
2024,5,Chinese Grand Prix,RUS,Mercedes,8,6
2024,5,Chinese Grand Prix,HUL,Haas F1 Team,9,10
2024,5,Chinese Grand Prix,BOT,Kick Sauber,10,20
2024,5,Chinese Grand Prix,STR,Aston Martin,11,15
2024,5,Chinese Grand Prix,RIC,RB,12,18
2024,5,Chinese Grand Prix,OCO,Alpine,13,11
2024,5,Chinese Grand Prix,ALB,Williams,14,12
2024,5,Chinese Grand Prix,GAS,Alpine,15,13
2024,5,Chinese Grand Prix,ZHO,Kick Sauber,16,14
2024,5,Chinese Grand Prix,MAG,Haas F1 Team,17,16
2024,5,Chinese Grand Prix,HAM,Mercedes,18,9
2024,5,Chinese Grand Prix,TSU,RB,19,19
2024,5,Chinese Grand Prix,SAR,Williams,20,17
2024,6,Miami Grand Prix,VER,Red Bull Racing,1,2
2024,6,Miami Grand Prix,LEC,Ferrari,2,3
2024,6,Miami Grand Prix,SAI,Ferrari,3,5
2024,6,Miami Grand Prix,PER,Red Bull Racing,4,4
2024,6,Miami Grand Prix,NOR,McLaren,5,1
2024,6,Miami Grand Prix,PIA,McLaren,6,13
2024,6,Miami Grand Prix,RUS,Mercedes,7,8
2024,6,Miami Grand Prix,HAM,Mercedes,8,6
2024,6,Miami Grand Prix,HUL,Haas F1 Team,9,11
2024,6,Miami Grand Prix,TSU,RB,10,7
2024,6,Miami Grand Prix,STR,Aston Martin,11,17
2024,6,Miami Grand Prix,GAS,Alpine,12,12
2024,6,Miami Grand Prix,OCO,Alpine,13,10
2024,6,Miami Grand Prix,ALB,Williams,14,18
2024,6,Miami Grand Prix,ALO,Aston Martin,15,9
2024,6,Miami Grand Prix,BOT,Kick Sauber,16,16
2024,6,Miami Grand Prix,SAR,Williams,17,20
2024,6,Miami Grand Prix,RIC,RB,20,15
2024,6,Miami Grand Prix,MAG,Haas F1 Team,18,19
2024,6,Miami Grand Prix,ZHO,Kick Sauber,19,14
2024,7,Emilia Romagna Grand Prix,VER,Red Bull Racing,1,1
2024,7,Emilia Romagna Grand Prix,PIA,McLaren,5,4
2024,7,Emilia Romagna Grand Prix,NOR,McLaren,2,2
2024,7,Emilia Romagna Grand Prix,LEC,Ferrari,3,3
2024,7,Emilia Romagna Grand Prix,SAI,Ferrari,4,5
2024,7,Emilia Romagna Grand Prix,RUS,Mercedes,6,7
2024,7,Emilia Romagna Grand Prix,TSU,RB,7,10
2024,7,Emilia Romagna Grand Prix,HAM,Mercedes,8,6
2024,7,Emilia Romagna Grand Prix,RIC,RB,9,13
2024,7,Emilia Romagna Grand Prix,HUL,Haas F1 Team,10,11
2024,7,Emilia Romagna Grand Prix,PER,Red Bull Racing,11,8
2024,7,Emilia Romagna Grand Prix,OCO,Alpine,12,14
2024,7,Emilia Romagna Grand Prix,STR,Aston Martin,13,9
2024,7,Emilia Romagna Grand Prix,ALB,Williams,14,20
2024,7,Emilia Romagna Grand Prix,GAS,Alpine,15,16
2024,7,Emilia Romagna Grand Prix,BOT,Kick Sauber,16,18
2024,7,Emilia Romagna Grand Prix,ZHO,Kick Sauber,17,15
2024,7,Emilia Romagna Grand Prix,MAG,Haas F1 Team,18,12
2024,7,Emilia Romagna Grand Prix,ALO,Aston Martin,20,19
2024,7,Emilia Romagna Grand Prix,SAR,Williams,19,17
2024,8,Monaco Grand Prix,LEC,Ferrari,1,1
2024,8,Monaco Grand Prix,PIA,McLaren,2,2
2024,8,Monaco Grand Prix,SAI,Ferrari,3,3
2024,8,Monaco Grand Prix,NOR,McLaren,4,4
2024,8,Monaco Grand Prix,RUS,Mercedes,5,5
2024,8,Monaco Grand Prix,VER,Red Bull Racing,6,6
2024,8,Monaco Grand Prix,HAM,Mercedes,7,7
2024,8,Monaco Grand Prix,TSU,RB,8,8
2024,8,Monaco Grand Prix,ALB,Williams,9,9
2024,8,Monaco Grand Prix,GAS,Alpine,10,10
2024,8,Monaco Grand Prix,OCO,Alpine,11,17
2024,8,Monaco Grand Prix,RIC,RB,12,12
2024,8,Monaco Grand Prix,STR,Aston Martin,13,14
2024,8,Monaco Grand Prix,HUL,Haas F1 Team,19,19
2024,8,Monaco Grand Prix,ALO,Aston Martin,14,11
2024,8,Monaco Grand Prix,SAR,Williams,15,15
2024,8,Monaco Grand Prix,MAG,Haas F1 Team,20,20
2024,8,Monaco Grand Prix,PER,Red Bull Racing,16,18
2024,8,Monaco Grand Prix,BOT,Kick Sauber,17,13
2024,8,Monaco Grand Prix,ZHO,Kick Sauber,18,16
2024,9,Canadian Grand Prix,RUS,Mercedes,1,3
2024,9,Canadian Grand Prix,VER,Red Bull Racing,2,1
2024,9,Canadian Grand Prix,NOR,McLaren,3,2
2024,9,Canadian Grand Prix,PIA,McLaren,4,5
2024,9,Canadian Grand Prix,RIC,RB,5,8
2024,9,Canadian Grand Prix,ALO,Aston Martin,6,6
2024,9,Canadian Grand Prix,HAM,Mercedes,7,4
2024,9,Canadian Grand Prix,TSU,RB,8,14
2024,9,Canadian Grand Prix,STR,Aston Martin,9,7
2024,9,Canadian Grand Prix,ALB,Williams,10,17
2024,9,Canadian Grand Prix,LEC,Ferrari,11,19
2024,9,Canadian Grand Prix,SAI,Ferrari,12,16
2024,9,Canadian Grand Prix,SAR,Williams,13,20
2024,9,Canadian Grand Prix,MAG,Haas F1 Team,14,12
2024,9,Canadian Grand Prix,GAS,Alpine,15,9
2024,9,Canadian Grand Prix,PER,Red Bull Racing,16,18
2024,9,Canadian Grand Prix,BOT,Kick Sauber,19,13
2024,9,Canadian Grand Prix,OCO,Alpine,18,10
2024,9,Canadian Grand Prix,HUL,Haas F1 Team,17,11
2024,9,Canadian Grand Prix,ZHO,Kick Sauber,20,15
2024,10,Spanish Grand Prix,NOR,McLaren,1,2
2024,10,Spanish Grand Prix,VER,Red Bull Racing,2,1
2024,10,Spanish Grand Prix,HAM,Mercedes,3,3
2024,10,Spanish Grand Prix,RUS,Mercedes,4,4
2024,10,Spanish Grand Prix,LEC,Ferrari,5,5
2024,10,Spanish Grand Prix,SAI,Ferrari,6,6
2024,10,Spanish Grand Prix,GAS,Alpine,7,9
2024,10,Spanish Grand Prix,PER,Red Bull Racing,11,8
2024,10,Spanish Grand Prix,OCO,Alpine,8,10
2024,10,Spanish Grand Prix,PIA,McLaren,9,7
2024,10,Spanish Grand Prix,ALO,Aston Martin,10,12
2024,10,Spanish Grand Prix,BOT,Kick Sauber,12,16
2024,10,Spanish Grand Prix,HUL,Haas F1 Team,13,11
2024,10,Spanish Grand Prix,STR,Aston Martin,14,14
2024,10,Spanish Grand Prix,ZHO,Kick Sauber,15,13
2024,10,Spanish Grand Prix,MAG,Haas F1 Team,16,17
2024,10,Spanish Grand Prix,TSU,RB,17,19
2024,10,Spanish Grand Prix,RIC,RB,18,15
2024,10,Spanish Grand Prix,ALB,Williams,20,18
2024,10,Spanish Grand Prix,SAR,Williams,19,20
2024,11,Austrian Grand Prix,VER,Red Bull Racing,1,5
2024,11,Austrian Grand Prix,NOR,McLaren,2,20
2024,11,Austrian Grand Prix,RUS,Mercedes,3,1
2024,11,Austrian Grand Prix,SAI,Ferrari,4,3
2024,11,Austrian Grand Prix,HAM,Mercedes,5,4
2024,11,Austrian Grand Prix,LEC,Ferrari,6,11
2024,11,Austrian Grand Prix,PIA,McLaren,7,2
2024,11,Austrian Grand Prix,PER,Red Bull Racing,8,7
2024,11,Austrian Grand Prix,HUL,Haas F1 Team,9,6
2024,11,Austrian Grand Prix,OCO,Alpine,10,12
2024,11,Austrian Grand Prix,RIC,RB,11,9
2024,11,Austrian Grand Prix,MAG,Haas F1 Team,12,8
2024,11,Austrian Grand Prix,GAS,Alpine,13,10
2024,11,Austrian Grand Prix,TSU,RB,14,14
2024,11,Austrian Grand Prix,ALO,Aston Martin,15,18
2024,11,Austrian Grand Prix,ALB,Williams,16,15
2024,11,Austrian Grand Prix,STR,Aston Martin,17,13
2024,11,Austrian Grand Prix,BOT,Kick Sauber,18,16
2024,11,Austrian Grand Prix,SAR,Williams,19,19
2024,11,Austrian Grand Prix,ZHO,Kick Sauber,20,17
2024,12,British Grand Prix,RUS,Mercedes,1,19
2024,12,British Grand Prix,HAM,Mercedes,2,1
2024,12,British Grand Prix,NOR,McLaren,3,3
2024,12,British Grand Prix,VER,Red Bull Racing,4,2
2024,12,British Grand Prix,PIA,McLaren,5,4
2024,12,British Grand Prix,HUL,Haas F1 Team,6,6
2024,12,British Grand Prix,SAI,Ferrari,7,5
2024,12,British Grand Prix,STR,Aston Martin,8,7
2024,12,British Grand Prix,ALB,Williams,9,9
2024,12,British Grand Prix,ALO,Aston Martin,10,8
2024,12,British Grand Prix,LEC,Ferrari,11,14
2024,12,British Grand Prix,SAR,Williams,12,11
2024,12,British Grand Prix,TSU,RB,13,10
2024,12,British Grand Prix,ZHO,Kick Sauber,14,18
2024,12,British Grand Prix,RIC,RB,15,13
2024,12,British Grand Prix,BOT,Kick Sauber,16,15
2024,12,British Grand Prix,MAG,Haas F1 Team,17,12
2024,12,British Grand Prix,OCO,Alpine,18,16
2024,12,British Grand Prix,PER,Red Bull Racing,20,17
2024,12,British Grand Prix,GAS,Alpine,19,20
2024,13,Hungarian Grand Prix,NOR,McLaren,1,2
2024,13,Hungarian Grand Prix,PIA,McLaren,2,1
2024,13,Hungarian Grand Prix,VER,Red Bull Racing,3,5
2024,13,Hungarian Grand Prix,SAI,Ferrari,4,6
2024,13,Hungarian Grand Prix,HAM,Mercedes,5,3
2024,13,Hungarian Grand Prix,LEC,Ferrari,6,4
2024,13,Hungarian Grand Prix,ALO,Aston Martin,7,11
2024,13,Hungarian Grand Prix,STR,Aston Martin,8,10
2024,13,Hungarian Grand Prix,RIC,RB,9,12
2024,13,Hungarian Grand Prix,TSU,RB,10,9
2024,13,Hungarian Grand Prix,HUL,Haas F1 Team,11,13
2024,13,Hungarian Grand Prix,BOT,Kick Sauber,12,16
2024,13,Hungarian Grand Prix,ALB,Williams,13,14
2024,13,Hungarian Grand Prix,SAR,Williams,14,17
2024,13,Hungarian Grand Prix,MAG,Haas F1 Team,15,15
2024,13,Hungarian Grand Prix,PER,Red Bull Racing,16,7
2024,13,Hungarian Grand Prix,RUS,Mercedes,17,8
2024,13,Hungarian Grand Prix,ZHO,Kick Sauber,18,19
2024,13,Hungarian Grand Prix,OCO,Alpine,19,18
2024,13,Hungarian Grand Prix,GAS,Alpine,20,20
2024,14,Belgian Grand Prix,VER,Red Bull Racing,11,4
2024,14,Belgian Grand Prix,LEC,Ferrari,1,3
2024,14,Belgian Grand Prix,PER,Red Bull Racing,2,7
2024,14,Belgian Grand Prix,HAM,Mercedes,3,1
2024,14,Belgian Grand Prix,NOR,McLaren,4,5
2024,14,Belgian Grand Prix,PIA,McLaren,5,2
2024,14,Belgian Grand Prix,RUS,Mercedes,6,20
2024,14,Belgian Grand Prix,SAI,Ferrari,7,6
2024,14,Belgian Grand Prix,ALO,Aston Martin,8,8
2024,14,Belgian Grand Prix,OCO,Alpine,9,9
2024,14,Belgian Grand Prix,ALB,Williams,10,12
2024,14,Belgian Grand Prix,GAS,Alpine,12,13
2024,14,Belgian Grand Prix,RIC,RB,13,10
2024,14,Belgian Grand Prix,BOT,Kick Sauber,14,15
2024,14,Belgian Grand Prix,STR,Aston Martin,15,11
2024,14,Belgian Grand Prix,HUL,Haas F1 Team,16,18
2024,14,Belgian Grand Prix,MAG,Haas F1 Team,17,14
2024,14,Belgian Grand Prix,TSU,RB,20,16
2024,14,Belgian Grand Prix,SAR,Williams,18,17
2024,14,Belgian Grand Prix,ZHO,Kick Sauber,19,19
2024,15,Dutch Grand Prix,NOR,McLaren,1,1
2024,15,Dutch Grand Prix,VER,Red Bull Racing,2,2
2024,15,Dutch Grand Prix,PIA,McLaren,3,4
2024,15,Dutch Grand Prix,RUS,Mercedes,4,7
2024,15,Dutch Grand Prix,PER,Red Bull Racing,5,6
2024,15,Dutch Grand Prix,LEC,Ferrari,6,3
2024,15,Dutch Grand Prix,ALO,Aston Martin,7,10
2024,15,Dutch Grand Prix,STR,Aston Martin,8,13
2024,15,Dutch Grand Prix,GAS,Alpine,9,9
2024,15,Dutch Grand Prix,SAI,Ferrari,10,5
2024,15,Dutch Grand Prix,ALB,Williams,19,14
2024,15,Dutch Grand Prix,HAM,Mercedes,14,8
2024,15,Dutch Grand Prix,TSU,RB,11,17
2024,15,Dutch Grand Prix,HUL,Haas F1 Team,12,11
2024,15,Dutch Grand Prix,MAG,Haas F1 Team,20,18
2024,15,Dutch Grand Prix,RIC,RB,13,12
2024,15,Dutch Grand Prix,OCO,Alpine,15,15
2024,15,Dutch Grand Prix,BOT,Kick Sauber,16,19
2024,15,Dutch Grand Prix,ZHO,Kick Sauber,17,20
2024,15,Dutch Grand Prix,SAR,Williams,18,16
2024,16,Italian Grand Prix,NOR,McLaren,1,3
2024,16,Italian Grand Prix,PIA,McLaren,2,2
2024,16,Italian Grand Prix,RUS,Mercedes,3,7
2024,16,Italian Grand Prix,LEC,Ferrari,4,1
2024,16,Italian Grand Prix,SAI,Ferrari,5,4
2024,16,Italian Grand Prix,HAM,Mercedes,6,5
2024,16,Italian Grand Prix,VER,Red Bull Racing,7,6
2024,16,Italian Grand Prix,PER,Red Bull Racing,8,8
2024,16,Italian Grand Prix,ALB,Williams,9,9
2024,16,Italian Grand Prix,HUL,Haas F1 Team,10,17
2024,16,Italian Grand Prix,ALO,Aston Martin,11,11
2024,16,Italian Grand Prix,RIC,RB,12,13
2024,16,Italian Grand Prix,MAG,Haas F1 Team,13,10
2024,16,Italian Grand Prix,GAS,Alpine,14,15
2024,16,Italian Grand Prix,OCO,Alpine,15,14
2024,16,Italian Grand Prix,TSU,RB,16,20
2024,16,Italian Grand Prix,STR,Aston Martin,17,19
2024,16,Italian Grand Prix,COL,Williams,18,12
2024,16,Italian Grand Prix,BOT,Kick Sauber,19,16
2024,16,Italian Grand Prix,ZHO,Kick Sauber,20,18
2024,17,Azerbaijan Grand Prix,LEC,Ferrari,1,2
2024,17,Azerbaijan Grand Prix,PIA,McLaren,2,1
2024,17,Azerbaijan Grand Prix,SAI,Ferrari,3,18
2024,17,Azerbaijan Grand Prix,PER,Red Bull Racing,4,17
2024,17,Azerbaijan Grand Prix,RUS,Mercedes,5,3
2024,17,Azerbaijan Grand Prix,VER,Red Bull Racing,6,5
2024,17,Azerbaijan Grand Prix,HAM,Mercedes,19,9
2024,17,Azerbaijan Grand Prix,ALO,Aston Martin,7,6
2024,17,Azerbaijan Grand Prix,COL,Williams,8,8
2024,17,Azerbaijan Grand Prix,ALB,Williams,9,7
2024,17,Azerbaijan Grand Prix,BEA,Haas F1 Team,10,10
2024,17,Azerbaijan Grand Prix,TSU,RB,11,20
2024,17,Azerbaijan Grand Prix,HUL,Haas F1 Team,12,11
2024,17,Azerbaijan Grand Prix,STR,Aston Martin,13,19
2024,17,Azerbaijan Grand Prix,RIC,RB,14,13
2024,17,Azerbaijan Grand Prix,GAS,Alpine,18,12
2024,17,Azerbaijan Grand Prix,NOR,McLaren,15,4
2024,17,Azerbaijan Grand Prix,BOT,Kick Sauber,16,16
2024,17,Azerbaijan Grand Prix,ZHO,Kick Sauber,17,14
2024,17,Azerbaijan Grand Prix,OCO,Alpine,20,15
2024,18,Singapore Grand Prix,NOR,McLaren,1,1
2024,18,Singapore Grand Prix,VER,Red Bull Racing,2,2
2024,18,Singapore Grand Prix,HAM,Mercedes,3,6
2024,18,Singapore Grand Prix,RUS,Mercedes,4,4
2024,18,Singapore Grand Prix,PIA,McLaren,5,3
2024,18,Singapore Grand Prix,HUL,Haas F1 Team,6,9
2024,18,Singapore Grand Prix,ALO,Aston Martin,7,8
2024,18,Singapore Grand Prix,TSU,RB,8,12
2024,18,Singapore Grand Prix,LEC,Ferrari,9,5
2024,18,Singapore Grand Prix,SAI,Ferrari,10,7
2024,18,Singapore Grand Prix,ALB,Williams,11,20
2024,18,Singapore Grand Prix,COL,Williams,12,11
2024,18,Singapore Grand Prix,PER,Red Bull Racing,13,10
2024,18,Singapore Grand Prix,MAG,Haas F1 Team,14,19
2024,18,Singapore Grand Prix,OCO,Alpine,15,13
2024,18,Singapore Grand Prix,RIC,RB,16,18
2024,18,Singapore Grand Prix,STR,Aston Martin,17,14
2024,18,Singapore Grand Prix,GAS,Alpine,18,17
2024,18,Singapore Grand Prix,BOT,Kick Sauber,19,16
2024,18,Singapore Grand Prix,ZHO,Kick Sauber,20,15
2024,19,United States Grand Prix,NOR,McLaren,1,4
2024,19,United States Grand Prix,VER,Red Bull Racing,2,3
2024,19,United States Grand Prix,SAI,Ferrari,3,2
2024,19,United States Grand Prix,LEC,Ferrari,4,1
2024,19,United States Grand Prix,PIA,McLaren,5,5
2024,19,United States Grand Prix,RUS,Mercedes,20,6
2024,19,United States Grand Prix,GAS,Alpine,6,12
2024,19,United States Grand Prix,ALO,Aston Martin,7,13
2024,19,United States Grand Prix,MAG,Haas F1 Team,8,11
2024,19,United States Grand Prix,PER,Red Bull Racing,9,7
2024,19,United States Grand Prix,TSU,RB,10,14
2024,19,United States Grand Prix,HUL,Haas F1 Team,11,8
2024,19,United States Grand Prix,OCO,Alpine,12,18
2024,19,United States Grand Prix,STR,Aston Martin,13,15
2024,19,United States Grand Prix,LAW,RB,19,9
2024,19,United States Grand Prix,ALB,Williams,14,16
2024,19,United States Grand Prix,COL,Williams,15,10
2024,19,United States Grand Prix,BOT,Kick Sauber,16,17
2024,19,United States Grand Prix,HAM,Mercedes,17,20
2024,19,United States Grand Prix,ZHO,Kick Sauber,18,19
2024,20,Mexico City Grand Prix,SAI,Ferrari,1,1
2024,20,Mexico City Grand Prix,VER,Red Bull Racing,2,6
2024,20,Mexico City Grand Prix,NOR,McLaren,3,2
2024,20,Mexico City Grand Prix,LEC,Ferrari,4,3
2024,20,Mexico City Grand Prix,RUS,Mercedes,5,5
2024,20,Mexico City Grand Prix,HAM,Mercedes,6,4
2024,20,Mexico City Grand Prix,MAG,Haas F1 Team,7,7
2024,20,Mexico City Grand Prix,GAS,Alpine,8,10
2024,20,Mexico City Grand Prix,ALB,Williams,9,19
2024,20,Mexico City Grand Prix,HUL,Haas F1 Team,10,9
2024,20,Mexico City Grand Prix,TSU,RB,11,20
2024,20,Mexico City Grand Prix,LAW,RB,12,16
2024,20,Mexico City Grand Prix,ALO,Aston Martin,13,18
2024,20,Mexico City Grand Prix,STR,Aston Martin,14,11
2024,20,Mexico City Grand Prix,BOT,Kick Sauber,15,14
2024,20,Mexico City Grand Prix,COL,Williams,16,12
2024,20,Mexico City Grand Prix,PIA,McLaren,17,8
2024,20,Mexico City Grand Prix,PER,Red Bull Racing,18,17
2024,20,Mexico City Grand Prix,OCO,Alpine,0,13
2024,20,Mexico City Grand Prix,ZHO,Kick Sauber,19,15
2024,21,São Paulo Grand Prix,NOR,McLaren,1,6
2024,21,São Paulo Grand Prix,RUS,Mercedes,2,4
2024,21,São Paulo Grand Prix,TSU,RB,3,7
2024,21,São Paulo Grand Prix,OCO,Alpine,4,2
2024,21,São Paulo Grand Prix,LAW,RB,5,9
2024,21,São Paulo Grand Prix,LEC,Ferrari,6,5
2024,21,São Paulo Grand Prix,ALB,Williams,7,18
2024,21,São Paulo Grand Prix,PIA,McLaren,8,8
2024,21,São Paulo Grand Prix,ALO,Aston Martin,9,14
2024,21,São Paulo Grand Prix,STR,Aston Martin,10,19
2024,21,São Paulo Grand Prix,BOT,Kick Sauber,11,13
2024,21,São Paulo Grand Prix,VER,Red Bull Racing,17,1
2024,21,São Paulo Grand Prix,PER,Red Bull Racing,12,11
2024,21,São Paulo Grand Prix,SAI,Ferrari,20,16
2024,21,São Paulo Grand Prix,GAS,Alpine,13,3
2024,21,São Paulo Grand Prix,HAM,Mercedes,14,10
2024,21,São Paulo Grand Prix,BEA,Haas F1 Team,15,12
2024,21,São Paulo Grand Prix,COL,Williams,16,17
2024,21,São Paulo Grand Prix,HUL,Haas F1 Team,18,20
2024,21,São Paulo Grand Prix,ZHO,Kick Sauber,19,15
2024,22,Las Vegas Grand Prix,RUS,Mercedes,1,1
2024,22,Las Vegas Grand Prix,SAI,Ferrari,2,3
2024,22,Las Vegas Grand Prix,GAS,Alpine,3,20
2024,22,Las Vegas Grand Prix,LEC,Ferrari,4,4
2024,22,Las Vegas Grand Prix,VER,Red Bull Racing,5,5
2024,22,Las Vegas Grand Prix,NOR,McLaren,6,6
2024,22,Las Vegas Grand Prix,TSU,RB,7,9
2024,22,Las Vegas Grand Prix,PIA,McLaren,8,7
2024,22,Las Vegas Grand Prix,HUL,Haas F1 Team,9,8
2024,22,Las Vegas Grand Prix,HAM,Mercedes,10,2
2024,22,Las Vegas Grand Prix,OCO,Alpine,11,17
2024,22,Las Vegas Grand Prix,MAG,Haas F1 Team,12,12
2024,22,Las Vegas Grand Prix,ZHO,Kick Sauber,13,13
2024,22,Las Vegas Grand Prix,COL,Williams,20,14
2024,22,Las Vegas Grand Prix,LAW,RB,14,16
2024,22,Las Vegas Grand Prix,PER,Red Bull Racing,15,10
2024,22,Las Vegas Grand Prix,ALO,Aston Martin,16,11
2024,22,Las Vegas Grand Prix,ALB,Williams,17,19
2024,22,Las Vegas Grand Prix,BOT,Kick Sauber,19,18
2024,22,Las Vegas Grand Prix,STR,Aston Martin,18,15
2024,23,Qatar Grand Prix,VER,Red Bull Racing,2,1
2024,23,Qatar Grand Prix,RUS,Mercedes,1,4
2024,23,Qatar Grand Prix,NOR,McLaren,3,10
2024,23,Qatar Grand Prix,PIA,McLaren,4,3
2024,23,Qatar Grand Prix,LEC,Ferrari,5,2
2024,23,Qatar Grand Prix,HAM,Mercedes,6,12
2024,23,Qatar Grand Prix,SAI,Ferrari,7,6
2024,23,Qatar Grand Prix,ALO,Aston Martin,8,7
2024,23,Qatar Grand Prix,PER,Red Bull Racing,9,17
2024,23,Qatar Grand Prix,MAG,Haas F1 Team,10,9
2024,23,Qatar Grand Prix,GAS,Alpine,11,5
2024,23,Qatar Grand Prix,ZHO,Kick Sauber,12,8
2024,23,Qatar Grand Prix,BOT,Kick Sauber,13,11
2024,23,Qatar Grand Prix,TSU,RB,14,13
2024,23,Qatar Grand Prix,STR,Aston Martin,15,18
2024,23,Qatar Grand Prix,ALB,Williams,16,15
2024,23,Qatar Grand Prix,LAW,RB,17,14
